iter	Passed	Remaining
1200	68866	217838
1201	68922	217777
1202	68976	217707
1203	69030	217642
1204	69083	217569
1205	69138	217504
1206	69196	217450
1207	69251	217385
1208	69307	217323
1209	69358	217247
1210	69407	217162
1211	69456	217080
1212	69507	217001
1213	69563	216943
1214	69615	216868
1215	69668	216797
1216	69718	216716
1217	69771	216645
1218	69828	216588
1219	69875	216500
1220	69928	216427
1221	69981	216357
1222	70038	216301
1223	70093	216236
1224	70148	216172
1225	70208	216122
1226	70262	216055
1227	70316	215989
1228	70372	215927
1229	70428	215864
1230	70478	215787
1231	70530	215714
1232	70584	215645
1233	70643	215595
1234	70702	215542
1235	70754	215470
1236	70809	215405
1237	70862	215335
1238	70916	215267
1239	70973	215210
1240	71025	215135
1241	71080	215074
1242	71144	215035
1243	71197	214967
1244	71247	214887
1245	71310	214847
1246	71362	214774
1247	71415	214703
1248	71463	214619
1249	71517	214551
1250	71574	214494
1251	71624	214417
1252	71677	214344
1253	71728	214271
1254	71782	214202
1255	71833	214126
1256	71878	214035
1257	71926	213949
1258	71984	213895
1259	72037	213824
1260	72090	213757
1261	72141	213681
1262	72196	213618
1263	72249	213547
1264	72300	213472
1265	72350	213394
1266	72403	213323
1267	72454	213250
1268	72509	213186
1269	72566	213127
1270	72624	213072
1271	72677	213004
1272	72726	212923
1273	72778	212850
1274	72833	212789
1275	72887	212722
1276	72944	212665
1277	73005	212617
1278	73069	212582
1279	73130	212534
1280	73184	212470
1281	73238	212402
1282	73290	212330
1283	73350	212281
1284	73403	212214
1285	73457	212146
1286	73519	212103
1287	73571	212031
1288	73624	211964
1289	73676	211892
1290	73730	211825
1291	73780	211748
1292	73833	211679
1293	73886	211609
1294	73940	211544
1295	74000	211494
1296	74055	211432
1297	74111	211371
1298	74170	211320
1299	74222	211247
1300	74277	211185
1301	74327	211109
1302	74387	211059
1303	74445	211003
1304	74495	210927
1305	74546	210853
1306	74606	210805
1307	74656	210726
1308	74706	210650
1309	74759	210583
1310	74820	210537
1311	74875	210474
1312	74926	210398
1313	74974	210317
1314	75032	210261
1315	75090	210207
1316	75145	210144
1317	75200	210081
1318	75259	210030
1319	75314	209967
1320	75378	209928
1321	75445	209901
1322	75503	209846
1323	75555	209775
1324	75608	209706
1325	75660	209634
1326	75718	209580
1327	75767	209502
1328	75815	209419
1329	75868	209352
1330	75927	209301
1331	75981	209233
1332	76033	209164
1333	76097	209126
1334	76172	209116
1335	76225	209050
1336	76284	208996
1337	76342	208943
1338	76397	208879
1339	76447	208804
1340	76497	208727
1341	76554	208670
1342	76612	208616
1343	76666	208552
1344	76722	208491
1345	76771	208411
1346	76827	208353
1347	76882	208290
1348	76937	208227
1349	76990	208159
1350	77050	208109
1351	77105	208047
1352	77156	207975
1353	77214	207920
1354	77266	207849
1355	77322	207788
1356	77368	207702
1357	77417	207624
1358	77473	207565
1359	77530	207506
1360	77579	207428
1361	77630	207356
1362	77683	207287
1363	77737	207224
1364	77796	207171
1365	77846	207095
1366	77900	207031
1367	77960	206982
1368	78013	206915
1369	78070	206858
1370	78151	206864
1371	78219	206837
1372	78286	206807
1373	78342	206745
1374	78395	206677
1375	78448	206610
1376	78502	206546
1377	78563	206500
1378	78623	206450
1379	78678	206387
1380	78736	206334
1381	78786	206259
1382	78841	206196
1383	78901	206146
1384	78954	206078
1385	79014	206029
1386	79070	205971
1387	79126	205910
1388	79176	205835
1389	79235	205785
1390	79293	205730
1391	79344	205657
1392	79398	205591
1393	79455	205536
1394	79512	205479
1395	79568	205418
1396	79617	205340
1397	79667	205265
1398	79727	205216
1399	79781	205151
1400	79835	205088
1401	79891	205027
1402	79949	204973
1403	80002	204905
1404	80059	204848
1405	80111	204780
1406	80165	204715
1407	80220	204652
1408	80280	204603
1409	80336	204545
1410	80394	204490
1411	80447	204423
1412	80503	204363
1413	80553	204289
1414	80605	204220
1415	80659	204155
1416	80719	204106
1417	80772	204039
1418	80827	203978
1419	80881	203911
1420	80934	203845
1421	80989	203783
1422	81052	203741
1423	81108	203683
1424	81180	203664
1425	81245	203627
1426	81309	203588
1427	81361	203517
1428	81416	203455
1429	81471	203394
1430	81530	203342
1431	81580	203268
1432	81634	203203
1433	81685	203131
1434	81742	203075
1435	81798	203015
1436	81856	202960
1437	81909	202894
1438	81968	202842
1439	82021	202775
1440	82069	202696
1441	82120	202625
1442	82171	202553
